index,provinceEnglishName,province_confirmedCount,province_curedCount,province_deadCount,updateTime
1102,Shanghai,485,334,5,2020/3/28
1103,Zhejiang,1251,1225,1,2020/3/28
1104,Fujian,337,295,1,2020/3/28
1105,Henan,1275,1251,22,2020/3/28
1106,Hubei,67801,62098,3177,2020/3/28
1107,Jilin,97,92,1,2020/3/28
1108,Tianjin,155,133,3,2020/3/27
1109,Hong Kong,519,110,4,2020/3/27
1110,Hubei,67801,61732,3174,2020/3/27
1111,Shandong,772,752,7,2020/3/27
1112,Taiwan,267,29,2,2020/3/27
1113,Beijing,569,408,8,2020/3/27
1114,Shanghai,468,334,5,2020/3/27
1115,Guangdong,1456,1337,8,2020/3/27
1116,Liaoning,128,124,2,2020/3/27
1117,Zhejiang,1247,1222,1,2020/3/27
1118,Sichuan,548,536,3,2020/3/27
1119,Gansu,136,123,2,2020/3/27
1120,Jiangsu,641,631,0,2020/3/27
1121,Neimenggu,92,74,1,2020/3/27
1122,Fujian,331,295,1,2020/3/27
1123,Yunnan,180,172,2,2020/3/27
1124,Macau,33,10,0,2020/3/27
1125,Hong Kong,453,110,4,2020/3/26
1126,Guangdong,1448,1336,8,2020/3/26
1127,Shandong,771,752,7,2020/3/26
1128,Taiwan,252,29,2,2020/3/26
1129,Shanghai,451,331,5,2020/3/26
1130,Beijing,566,406,8,2020/3/26
1131,Liaoning,128,124,2,2020/3/26
1132,Tianjin,151,133,3,2020/3/26
1133,Macau,31,10,0,2020/3/26
1134,Neimenggu,89,74,1,2020/3/26
1135,Zhejiang,1243,1222,1,2020/3/26
1136,Shaanxi,253,242,3,2020/3/26
1137,Henan,1275,1250,22,2020/3/26
1138,Jiangsu,640,631,0,2020/3/26
1139,Hubei,67801,61201,3169,2020/3/26
1140,Fujian,328,295,1,2020/3/26
1141,Heilongjiang,484,469,13,2020/3/26
1142,Gansu,136,121,2,2020/3/26
1143,Jilin,95,92,1,2020/3/26
1144,Yunnan,178,172,2,2020/3/26
1145,Shanxi,135,133,0,2020/3/26
1146,Hubei,67801,60811,3163,2020/3/25
1147,Guangdong,1433,1336,8,2020/3/25
1148,Hong Kong,410,102,4,2020/3/25
1149,Taiwan,235,29,2,2020/3/25
1150,Beijing,561,403,8,2020/3/25
1151,Macau,30,10,0,2020/3/25
1152,Shanghai,433,330,5,2020/3/25
1153,Fujian,322,295,1,2020/3/25
1154,Zhejiang,1241,1221,1,2020/3/25
1155,Shandong,769,752,7,2020/3/25
1156,Sichuan,547,536,3,2020/3/25
1157,Jiangsu,638,631,0,2020/3/25
1158,Shaanxi,250,240,3,2020/3/25
1159,Neimenggu,77,74,1,2020/3/25
1160,Jilin,94,92,1,2020/3/25
1161,Tianjin,145,133,3,2020/3/24
1162,Gansu,136,119,2,2020/3/24
1163,Hubei,67801,60324,3160,2020/3/24
1164,Hong Kong,386,101,4,2020/3/24
1165,Shanghai,414,330,4,2020/3/24
1166,Taiwan,215,29,2,2020/3/24
1167,Beijing,558,401,8,2020/3/24
1168,Hainan,168,162,6,2020/3/24
1169,Zhejiang,1240,1221,1,2020/3/24
1170,Macau,25,10,0,2020/3/24
1171,Jiangsu,636,631,0,2020/3/24
1172,Shaanxi,249,240,3,2020/3/24
1173,Guangdong,1428,1333,8,2020/3/24
1174,Fujian,318,295,1,2020/3/24
1175,Sichuan,545,536,3,2020/3/24
1176,Heilongjiang,484,468,13,2020/3/24
1177,Chongqing,578,570,6,2020/3/24
1178,Shanxi,134,133,0,2020/3/24
1179,Shanghai,404,329,4,2020/3/23
1180,Shandong,768,752,7,2020/3/23
1181,Guangdong,1415,1332,8,2020/3/23
1182,Hong Kong,356,100,4,2020/3/23
1183,Beijing,537,401,8,2020/3/23
1184,Taiwan,195,28,2,2020/3/23
1185,Hubei,67800,59882,3153,2020/3/23
1186,Tianjin,141,133,3,2020/3/23
1187,Macau,24,10,0,2020/3/23
1188,Jiangsu,633,631,0,2020/3/23
1189,Hebei,319,310,6,2020/3/23
1190,Jiangxi,936,934,1,2020/3/23
1191,Henan,1274,1250,22,2020/3/23
1192,Zhejiang,1238,1221,1,2020/3/23
1193,Liaoning,127,124,2,2020/3/23
1194,Fujian,313,295,1,2020/3/23
1195,Heilongjiang,484,465,13,2020/3/23
1196,Gansu,136,114,2,2020/3/22
1197,Macau,20,10,0,2020/3/22
1198,Chongqing,577,570,6,2020/3/22
1199,Hubei,67800,59433,3144,2020/3/22
1200,Hong Kong,317,100,4,2020/3/22
1201,Taiwan,169,28,2,2020/3/22
1202,Shandong,766,750,7,2020/3/22
1203,Beijing,514,400,8,2020/3/22
1204,Guangdong,1407,1329,8,2020/3/22
1205,Shanghai,394,328,4,2020/3/22
1206,Zhejiang,1237,1219,1,2020/3/22
1207,Fujian,307,295,1,2020/3/22
1208,Heilongjiang,484,466,13,2020/3/22
1209,Sichuan,543,536,3,2020/3/22
1210,Hebei,319,310,6,2020/3/22
1211,Jiangsu,633,631,0,2020/3/22
1212,Jiangxi,936,934,1,2020/3/22
1213,Liaoning,126,124,2,2020/3/22
1214,Taiwan,153,28,2,2020/3/21
1215,Beijing,504,396,8,2020/3/21
1216,Guangdong,1400,1325,8,2020/3/21
1217,Shanghai,380,327,3,2020/3/21
1218,Hubei,67800,58946,3139,2020/3/21
1219,Hong Kong,273,98,4,2020/3/21
1220,Zhejiang,1236,1219,1,2020/3/21
1221,Gansu,134,113,2,2020/3/21
1222,Shandong,764,749,7,2020/3/21
1223,Fujian,303,295,1,2020/3/21
1224,Shaanxi,248,239,3,2020/3/21
1225,Sichuan,542,536,3,2020/3/21
1226,Taiwan,135,26,2,2020/3/20
1227,Hong Kong,256,98,4,2020/3/20
1228,Guangdong,1395,1323,8,2020/3/20
1229,Hubei,67800,58382,3133,2020/3/20
1230,Beijing,491,390,8,2020/3/20
1231,Shanghai,371,326,3,2020/3/20
1232,Gansu,134,98,2,2020/3/20
1233,Zhejiang,1234,1219,1,2020/3/20
1234,Heilongjiang,484,463,13,2020/3/20
1235,Shandong,762,748,7,2020/3/20
1236,Shaanxi,247,237,3,2020/3/20
1237,Fujian,299,295,1,2020/3/20
1238,Sichuan,541,536,3,2020/3/20
1239,Guangxi,254,250,2,2020/3/20
1240,Liaoning,126,122,2,2020/3/20
1241,Tianjin,137,133,3,2020/3/20
1242,Gansu,134,91,2,2020/3/19
1243,Sichuan,540,536,3,2020/3/19
1244,Hubei,67800,57682,3130,2020/3/19
1245,Hong Kong,208,95,4,2020/3/19
1246,Zhejiang,1234,1217,1,2020/3/19
1247,Taiwan,108,26,1,2020/3/19
1248,Beijing,480,380,8,2020/3/19
1249,Heilongjiang,483,460,13,2020/3/19
1250,Guangdong,1378,1318,8,2020/3/19
1251,Shandong,761,747,7,2020/3/19
